feature,importance
home_score,5.01050870253172
away_score,4.909188471217836
xg_efficiency_diff,0.6029257569226858
home_shot_efficiency,0.16263588178167768
xg_diff,0.1555117426816253
away_away_win_rate,0.07062351129549872
home_xg,0.06756473610720136
home_xg_efficiency,0.04882922657611677
home_home_win_rate,0.04651067924531844
away_xg,0.04307379400198837
home_xg_ratio,0.04268052060370192
away_xg_ratio,0.042680520603699916
away_shot_efficiency,0.03524286405599065
away_shots_on_target,0.01672411317812269
form_interaction,0.009387816546747611
is_season_start,0.00629412922935967
away_home_avg_shots,0.0032543145519427336
away_form,0.0021719576753882245
home_away_avg_shots,0.0017782371707531887
home_possession_ratio,0.001392370611148109
home_possession,0.0013923706111366096
away_possession,0.0013923706111350987
away_possession_ratio,0.0013923706111333672
possession_diff,0.0013923706111297575
shot_accuracy_diff,0.0012350916460147144
total_shots,0.000897296804080867
is_playoff_season,0.0
is_derby,0.0
away_away_avg_xg,0.0
home_home_avg_possession,0.0
away_home_avg_possession,0.0
home_away_avg_possession,0.0
away_away_avg_possession,0.0
home_home_avg_shots,0.0
home_fouls,0.0
away_corners,0.0
away_away_avg_shots,0.0
home_corners,0.0
away_home_win_rate,0.0
home_away_win_rate,0.0
home_shots_on_target,0.0
away_shots,0.0
xg_form_interaction,0.0
possession_form_interaction,0.0
shot_form_interaction,0.0
home_shots,0.0
home_form,0.0
home_discipline_score,0.0
away_discipline_score,0.0
home_away_avg_xg,0.0
away_home_avg_xg,0.0
home_home_avg_xg,0.0
away_yellow_cards,0.0
is_season_end,0.0
total_xg,0.0
is_weekend,0.0
weekday,0.0
month,0.0
away_xg_efficiency,0.0
form_diff,0.0
away_red_cards,0.0
home_red_cards,0.0
shot_diff,0.0
red_card_diff,0.0
home_shot_accuracy,0.0
away_shot_accuracy,0.0
home_yellow_cards,0.0
away_fouls,0.0
total_fouls,0.0
foul_diff,0.0
total_yellow_cards,0.0
total_red_cards,0.0
yellow_card_diff,0.0
discipline_diff,0.0
