feature,importance
xg_efficiency_diff,0.16793363
home_score,0.06509196
away_score,0.061155085
home_shot_efficiency,0.057634454
home_xg_ratio,0.05434426
home_xg,0.041726485
home_xg_efficiency,0.036493093
away_xg_ratio,0.034988813
away_shot_efficiency,0.034801412
discipline_diff,0.033026174
xg_diff,0.0310548
xg_form_interaction,0.020965928
away_shots_on_target,0.016154595
away_xg_efficiency,0.015180521
home_form,0.01505706
away_yellow_cards,0.014334128
shot_form_interaction,0.013712414
home_home_win_rate,0.013481825
away_possession_ratio,0.012142308
month,0.01200406
away_away_win_rate,0.010867945
total_red_cards,0.01046352
form_interaction,0.010267535
away_shots,0.0101283295
away_away_avg_possession,0.010066837
away_possession,0.00967558
shot_diff,0.00945921
away_form,0.00923545
total_fouls,0.008811798
yellow_card_diff,0.008585643
total_yellow_cards,0.008526908
total_xg,0.008307143
is_weekend,0.008084645
away_xg,0.007842436
home_away_avg_possession,0.0077727903
away_home_avg_shots,0.0071016597
away_home_win_rate,0.007096144
home_fouls,0.006722399
home_possession,0.005753692
home_corners,0.0055747116
away_away_avg_xg,0.0052624648
shot_accuracy_diff,0.0052035837
weekday,0.004831662
home_away_avg_shots,0.0047635376
away_shot_accuracy,0.004715601
form_diff,0.0044869124
is_playoff_season,0.0042546173
home_shots,0.0041659386
away_home_avg_possession,0.004089787
away_fouls,0.004080077
home_home_avg_shots,0.0038789099
home_shot_accuracy,0.0034828545
home_yellow_cards,0.003474815
away_corners,0.0032694566
total_shots,0.0030781643
home_home_avg_xg,0.002908816
foul_diff,0.0029046878
home_shots_on_target,0.0028985557
home_home_avg_possession,0.0025812304
away_home_avg_xg,0.0023004299
possession_form_interaction,0.0013586731
home_away_avg_xg,0.00038190596
red_card_diff,0.0
away_away_avg_shots,0.0
home_possession_ratio,0.0
home_away_win_rate,0.0
is_derby,0.0
is_season_end,0.0
is_season_start,0.0
away_red_cards,0.0
home_red_cards,0.0
home_discipline_score,0.0
away_discipline_score,0.0
possession_diff,0.0
